sorteo,modo,fecha,aciertos,premio_total,ganadores,premio_por_ganador
2172,baloto,16/03/2022,3+SB,$6.403.560,136,$47.09
2172,baloto,16/03/2022,3,$20.899.203,1.587,$13.17
2172,baloto,16/03/2022,2+SB,$16.691.376,1.794,$9.30
2172,baloto,16/03/2022,0+SB,$72.509.700,12.721,$5.70
2171,baloto,12/03/2022,5+SB,$0,0,$0
2171,baloto,12/03/2022,5,$0,0,$0
2171,baloto,12/03/2022,4+SB,$8.046.626,2,$4.023.313
2171,baloto,12/03/2022,4,$8.801.032,89,$98.89
2171,baloto,12/03/2022,3+SB,$7.627.536,138,$55.27
2171,baloto,12/03/2022,3,$24.894.762,2.689,$9.26
2171,baloto,12/03/2022,2+SB,$19.881.600,1.744,$11.40
2171,baloto,12/03/2022,0+SB,$56.868.900,9.977,$5.70
2170,baloto,09/03/2022,5+SB,$0,0,$0
2170,baloto,09/03/2022,5,$35.159.768,1,$35.159.768
2170,baloto,09/03/2022,4+SB,$7.046.634,2,$3.523.317
2170,baloto,09/03/2022,4,$7.707.255,57,$135.22
2170,baloto,09/03/2022,3+SB,$6.679.590,106,$63.02
2170,baloto,09/03/2022,3,$21.800.888,2.203,$9.90
2170,baloto,09/03/2022,2+SB,$17.411.315,1.615,$10.78
2170,baloto,09/03/2022,0+SB,$49.242.300,8.639,$5.70
2169,baloto,05/03/2022,5+SB,$0,0,$0
2169,baloto,05/03/2022,5,$0,0,$0
2169,baloto,05/03/2022,4+SB,$8.384.790,6,$1.397.465
2169,baloto,05/03/2022,4,$9.170.874,54,$169.83
2169,baloto,05/03/2022,3+SB,$7.948.125,225,$35.33
2169,baloto,05/03/2022,3,$25.940.037,2.621,$9.90
2169,baloto,05/03/2022,2+SB,$20.716.497,2.421,$8.56
2169,baloto,05/03/2022,0+SB,$77.121.000,13.53,$5.70
2168,baloto,02/03/2022,5+SB,$0,0,$0
2168,baloto,02/03/2022,5,$0,0,$0
2168,baloto,02/03/2022,4+SB,$7.870.162,1,$7.870.162
2168,baloto,02/03/2022,4,$8.607.984,56,$153.71
2168,baloto,02/03/2022,3+SB,$7.460.320,140,$53.29
2168,baloto,02/03/2022,3,$24.349.204,1.996,$12.20
2168,baloto,02/03/2022,2+SB,$19.445.397,1.801,$10.80
2168,baloto,02/03/2022,0+SB,$76.476.900,13.417,$5.70
2167,baloto,26/02/2022,5+SB,$0,0,$0
2167,baloto,26/02/2022,5,$40.968.870,1,$40.968.870
2167,baloto,26/02/2022,4+SB,$8.210.880,4,$2.052.720
2167,baloto,26/02/2022,4,$8.980.680,60,$149.68
2167,baloto,26/02/2022,3+SB,$7.783.200,144,$54.05
2167,baloto,26/02/2022,3,$25.402.386,2.217,$11.46
2167,baloto,26/02/2022,2+SB,$20.287.760,1.835,$11.06
2167,baloto,26/02/2022,0+SB,$64.147.800,11.254,$5.70
2166,baloto,23/02/2022,5+SB,$0,0,$0
2166,baloto,23/02/2022,5,$0,0,$0
2166,baloto,23/02/2022,4+SB,$6.940.965,5,$1.388.193
2166,baloto,23/02/2022,4,$7.591.688,52,$145.99
2166,baloto,23/02/2022,3+SB,$6.579.440,140,$47.00
